Local time,Open,High,Low,Close,Volume
01.04.2025 00:33:42.000 GMT+1100,30.427,30.427,30.427,30.427,0.12
01.04.2025 00:33:45.000 GMT+1100,30.417,30.417,30.417,30.417,0.12
01.04.2025 00:33:46.000 GMT+1100,30.437,30.437,30.427,30.427,0.48090000000000005
01.04.2025 00:33:47.000 GMT+1100,30.418,30.418,30.418,30.418,0.12
01.04.2025 00:33:48.000 GMT+1100,30.418,30.418,30.417,30.417,0.24
01.04.2025 00:33:49.000 GMT+1100,30.417,30.417,30.417,30.417,0.12
01.04.2025 00:33:51.000 GMT+1100,30.447,30.447,30.447,30.447,0.24
01.04.2025 00:33:53.000 GMT+1100,30.437,30.437,30.437,30.437,0.12
01.04.2025 00:33:55.000 GMT+1100,30.427,30.427,30.427,30.427,0.12
01.04.2025 00:33:57.000 GMT+1100,30.437,30.437,30.427,30.427,0.24
01.04.2025 00:34:00.000 GMT+1100,30.438,30.447,30.437,30.437,0.6
01.04.2025 00:34:01.000 GMT+1100,30.448,30.448,30.448,30.448,0.12
01.04.2025 00:34:06.000 GMT+1100,30.437,30.437,30.437,30.437,0.12
01.04.2025 00:34:07.000 GMT+1100,30.457,30.457,30.448,30.457,0.36179999999999995
01.04.2025 00:34:09.000 GMT+1100,30.457,30.468,30.457,30.468,0.24
01.04.2025 00:34:12.000 GMT+1100,30.497,30.497,30.497,30.497,0.12
01.04.2025 00:34:14.000 GMT+1100,30.517,30.517,30.507,30.507,0.3609
01.04.2025 00:34:16.000 GMT+1100,30.497,30.497,30.497,30.497,0.12
01.04.2025 00:34:17.000 GMT+1100,30.507,30.507,30.507,30.507,0.12
01.04.2025 00:34:24.000 GMT+1100,30.527,30.527,30.517,30.527,0.3609
01.04.2025 00:34:27.000 GMT+1100,30.518,30.518,30.518,30.518,0.12
01.04.2025 00:34:28.000 GMT+1100,30.517,30.527,30.517,30.527,0.24
01.04.2025 00:34:30.000 GMT+1100,30.527,30.527,30.498,30.498,0.54
01.04.2025 00:34:34.000 GMT+1100,30.517,30.517,30.517,30.517,0.12089999999999998
01.04.2025 00:34:36.000 GMT+1100,30.507,30.507,30.507,30.507,0.12
01.04.2025 00:34:37.000 GMT+1100,30.517,30.517,30.517,30.517,0.12
01.04.2025 00:34:38.000 GMT+1100,30.528,30.528,30.528,30.528,0.12
01.04.2025 00:34:39.000 GMT+1100,30.527,30.528,30.527,30.528,0.24
01.04.2025 00:34:47.000 GMT+1100,30.537,30.538,30.537,30.538,0.12089999999999998
01.04.2025 00:34:48.000 GMT+1100,30.547,30.547,30.537,30.537,0.24
01.04.2025 00:34:51.000 GMT+1100,30.547,30.547,30.528,30.528,0.33
01.04.2025 00:34:52.000 GMT+1100,30.527,30.527,30.527,30.527,0.12
01.04.2025 00:34:54.000 GMT+1100,30.517,30.517,30.517,30.517,0.12
01.04.2025 00:34:56.000 GMT+1100,30.517,30.527,30.517,30.527,0.24
01.04.2025 00:34:58.000 GMT+1100,30.527,30.527,30.527,30.527,0.24
01.04.2025 00:35:00.000 GMT+1100,30.517,30.518,30.507,30.507,0.35999999999999993
01.04.2025 00:35:02.000 GMT+1100,30.507,30.507,30.497,30.497,0.24
01.04.2025 00:35:03.000 GMT+1100,30.508,30.508,30.507,30.507,0.24
01.04.2025 00:35:04.000 GMT+1100,30.518,30.518,30.518,30.518,0.12
01.04.2025 00:35:06.000 GMT+1100,30.507,30.507,30.507,30.507,0.12
01.04.2025 00:35:08.000 GMT+1100,30.517,30.518,30.517,30.518,0.24
01.04.2025 00:35:09.000 GMT+1100,30.517,30.517,30.517,30.517,0.12
01.04.2025 00:35:10.000 GMT+1100,30.507,30.507,30.507,30.507,0.12
01.04.2025 00:35:11.000 GMT+1100,30.507,30.507,30.507,30.507,0.12
01.04.2025 00:35:12.000 GMT+1100,30.508,30.527,30.507,30.527,0.35999999999999993
01.04.2025 00:35:14.000 GMT+1100,30.538,30.538,30.527,30.527,0.2409
01.04.2025 00:35:18.000 GMT+1100,30.537,30.537,30.537,30.537,0.12
01.04.2025 00:35:21.000 GMT+1100,30.537,30.537,30.527,30.527,0.21
01.04.2025 00:35:22.000 GMT+1100,30.517,30.517,30.517,30.517,0.24
01.04.2025 00:35:24.000 GMT+1100,30.518,30.527,30.517,30.527,0.33089999999999997
01.04.2025 00:35:26.000 GMT+1100,30.527,30.527,30.527,30.527,0.24
01.04.2025 00:35:27.000 GMT+1100,30.527,30.527,30.517,30.517,0.21
01.04.2025 00:35:28.000 GMT+1100,30.518,30.518,30.517,30.517,0.24
01.04.2025 00:35:30.000 GMT+1100,30.527,30.527,30.527,30.527,0.12089999999999998
01.04.2025 00:35:34.000 GMT+1100,30.548,30.548,30.537,30.537,0.12089999999999998
01.04.2025 00:35:35.000 GMT+1100,30.557,30.557,30.557,30.557,0.2409
01.04.2025 00:35:36.000 GMT+1100,30.558,30.558,30.558,30.558,0.12
01.04.2025 00:35:38.000 GMT+1100,30.557,30.557,30.557,30.557,0.12
01.04.2025 00:35:39.000 GMT+1100,30.557,30.557,30.557,30.557,0.12
01.04.2025 00:35:40.000 GMT+1100,30.558,30.558,30.558,30.558,0.12
01.04.2025 00:35:42.000 GMT+1100,30.547,30.547,30.547,30.547,0.12
01.04.2025 00:35:46.000 GMT+1100,30.547,30.547,30.547,30.547,0.24
01.04.2025 00:35:47.000 GMT+1100,30.547,30.547,30.547,30.547,0.12
01.04.2025 00:35:48.000 GMT+1100,30.537,30.537,30.537,30.537,0.12
01.04.2025 00:35:49.000 GMT+1100,30.537,30.537,30.537,30.537,0.12
01.04.2025 00:35:50.000 GMT+1100,30.537,30.537,30.537,30.537,0.12
01.04.2025 00:35:53.000 GMT+1100,30.538,30.538,30.517,30.517,0.21
01.04.2025 00:35:57.000 GMT+1100,30.547,30.547,30.517,30.527,0.36179999999999995
01.04.2025 00:36:00.000 GMT+1100,30.528,30.537,30.527,30.537,0.48
01.04.2025 00:36:01.000 GMT+1100,30.528,30.528,30.528,30.528,0.12
01.04.2025 00:36:02.000 GMT+1100,30.527,30.527,30.527,30.527,0.12
01.04.2025 00:36:03.000 GMT+1100,30.547,30.548,30.537,30.537,0.2409
01.04.2025 00:36:11.000 GMT+1100,30.567,30.567,30.567,30.567,0.12089999999999998
01.04.2025 00:36:12.000 GMT+1100,30.557,30.557,30.557,30.557,0.24
01.04.2025 00:36:14.000 GMT+1100,30.547,30.547,30.547,30.547,0.12
01.04.2025 00:36:15.000 GMT+1100,30.547,30.547,30.547,30.547,0.18
01.04.2025 00:36:16.000 GMT+1100,30.537,30.537,30.537,30.537,0.12
01.04.2025 00:36:17.000 GMT+1100,30.537,30.538,30.517,30.517,0.3
01.04.2025 00:36:18.000 GMT+1100,30.517,30.517,30.507,30.507,0.33089999999999997
01.04.2025 00:36:20.000 GMT+1100,30.507,30.507,30.507,30.507,0.09
01.04.2025 00:36:21.000 GMT+1100,30.508,30.508,30.497,30.497,0.21
01.04.2025 00:36:24.000 GMT+1100,30.498,30.498,30.477,30.478,0.45
01.04.2025 00:36:26.000 GMT+1100,30.467,30.467,30.467,30.467,0.12
01.04.2025 00:36:27.000 GMT+1100,30.467,30.477,30.467,30.468,0.33
01.04.2025 00:36:28.000 GMT+1100,30.467,30.467,30.467,30.467,0.12
01.04.2025 00:36:37.000 GMT+1100,30.477,30.477,30.477,30.477,0.12
01.04.2025 00:36:38.000 GMT+1100,30.467,30.467,30.467,30.467,0.12
01.04.2025 00:36:39.000 GMT+1100,30.468,30.468,30.467,30.467,0.24
01.04.2025 00:36:40.000 GMT+1100,30.467,30.467,30.467,30.467,0.12
01.04.2025 00:36:41.000 GMT+1100,30.467,30.467,30.467,30.467,0.24
01.04.2025 00:36:43.000 GMT+1100,30.467,30.477,30.467,30.477,0.24
01.04.2025 00:36:44.000 GMT+1100,30.487,30.487,30.487,30.487,0.12
01.04.2025 00:36:45.000 GMT+1100,30.478,30.478,30.478,30.478,0.12
01.04.2025 00:36:49.000 GMT+1100,30.488,30.488,30.477,30.477,0.24
01.04.2025 00:36:55.000 GMT+1100,30.477,30.488,30.477,30.488,0.12089999999999998
01.04.2025 00:36:56.000 GMT+1100,30.487,30.488,30.487,30.488,0.24
01.04.2025 00:36:57.000 GMT+1100,30.477,30.477,30.477,30.477,0.12
01.04.2025 00:37:00.000 GMT+1100,30.477,30.477,30.467,30.467,0.33
01.04.2025 00:37:10.000 GMT+1100,30.468,30.468,30.468,30.468,0.12
01.04.2025 00:37:11.000 GMT+1100,30.467,30.467,30.467,30.467,0.12
01.04.2025 00:37:12.000 GMT+1100,30.467,30.467,30.467,30.467,0.09
01.04.2025 00:37:13.000 GMT+1100,30.458,30.458,30.458,30.458,0.12
01.04.2025 00:37:19.000 GMT+1100,30.447,30.447,30.447,30.447,0.12
01.04.2025 00:37:21.000 GMT+1100,30.448,30.448,30.438,30.447,0.21089999999999998
01.04.2025 00:37:22.000 GMT+1100,30.447,30.477,30.447,30.477,0.48
01.04.2025 00:37:23.000 GMT+1100,30.467,30.467,30.467,30.467,0.12
01.04.2025 00:37:26.000 GMT+1100,30.487,30.487,30.487,30.487,0.12
01.04.2025 00:37:28.000 GMT+1100,30.477,30.477,30.477,30.477,0.12
01.04.2025 00:37:30.000 GMT+1100,30.497,30.497,30.497,30.497,0.12089999999999998
