Local time,Open,High,Low,Close,Volume
01.04.2025 00:45:33.000 GMT+1100,70.827,70.827,70.827,70.827,0.0132
01.04.2025 00:45:34.000 GMT+1100,70.867,70.867,70.827,70.827,0.0405
01.04.2025 00:45:35.000 GMT+1100,70.827,70.827,70.827,70.827,0.0132
01.04.2025 00:45:36.000 GMT+1100,70.827,70.827,70.827,70.827,0.0132
01.04.2025 00:45:37.000 GMT+1100,70.827,70.827,70.827,70.827,0.0264
01.04.2025 00:45:38.000 GMT+1100,70.827,70.827,70.827,70.827,0.0264
01.04.2025 00:45:39.000 GMT+1100,70.827,70.827,70.827,70.827,0.0264
01.04.2025 00:45:40.000 GMT+1100,70.827,70.827,70.827,70.827,0.0132
01.04.2025 00:45:41.000 GMT+1100,70.827,70.827,70.827,70.827,0.0396
01.04.2025 00:45:51.000 GMT+1100,70.657,70.657,70.657,70.657,0.0132
01.04.2025 00:45:52.000 GMT+1100,70.657,70.657,70.657,70.657,0.0132
01.04.2025 00:45:56.000 GMT+1100,70.717,70.717,70.657,70.657,0.0141
01.04.2025 00:46:40.000 GMT+1100,70.707,70.707,70.707,70.707,0.0132
01.04.2025 00:46:41.000 GMT+1100,70.657,70.657,70.657,70.657,0.0132
01.04.2025 00:46:44.000 GMT+1100,70.797,70.797,70.797,70.797,0.0132
01.04.2025 00:46:45.000 GMT+1100,70.657,70.657,70.657,70.657,0.0132
01.04.2025 00:46:55.000 GMT+1100,70.657,70.657,70.657,70.657,0.0132
01.04.2025 00:46:56.000 GMT+1100,70.647,70.647,70.647,70.647,0.0132
01.04.2025 00:47:26.000 GMT+1100,70.647,70.647,70.647,70.647,0.0132
01.04.2025 00:47:35.000 GMT+1100,70.647,70.877,70.647,70.877,0.0141
01.04.2025 00:47:47.000 GMT+1100,70.877,70.877,70.597,70.597,0.0222
01.04.2025 00:47:49.000 GMT+1100,70.597,70.597,70.597,70.597,0.0132
01.04.2025 00:48:19.000 GMT+1100,70.597,70.597,70.577,70.577,0.0222
01.04.2025 00:49:04.000 GMT+1100,70.567,70.567,70.567,70.567,0.0264
01.04.2025 00:49:05.000 GMT+1100,70.567,70.567,70.567,70.567,0.0132
01.04.2025 00:49:15.000 GMT+1100,70.567,70.567,70.567,70.567,0.0132
01.04.2025 00:49:20.000 GMT+1100,70.792,70.807,70.792,70.807,0.0141
01.04.2025 00:49:22.000 GMT+1100,70.807,70.807,70.807,70.807,0.0222
01.04.2025 00:49:23.000 GMT+1100,70.547,70.547,70.547,70.547,0.0132
01.04.2025 00:49:24.000 GMT+1100,70.617,70.617,70.617,70.617,0.0009
01.04.2025 00:49:35.000 GMT+1100,70.617,70.617,70.617,70.617,0.0132
01.04.2025 00:50:05.000 GMT+1100,70.657,70.657,70.617,70.617,0.0264
01.04.2025 00:50:22.000 GMT+1100,70.697,70.697,70.627,70.627,0.015000000000000001
01.04.2025 00:50:26.000 GMT+1100,70.737,70.737,70.627,70.627,0.027299999999999998
01.04.2025 00:50:32.000 GMT+1100,70.707,70.707,70.707,70.707,0.0132
01.04.2025 00:50:52.000 GMT+1100,70.757,70.827,70.757,70.827,0.015000000000000001
01.04.2025 00:50:53.000 GMT+1100,70.887,70.887,70.887,70.887,0.0132
01.04.2025 00:50:54.000 GMT+1100,70.897,70.897,70.897,70.897,0.0132
01.04.2025 00:51:10.000 GMT+1100,70.907,70.907,70.907,70.907,0.0009
01.04.2025 00:51:22.000 GMT+1100,70.987,70.987,70.987,70.987,0.0132
01.04.2025 00:51:29.000 GMT+1100,70.987,70.987,70.987,70.987,0.0132
01.04.2025 00:51:39.000 GMT+1100,70.977,70.977,70.977,70.977,0.0132
01.04.2025 00:51:45.000 GMT+1100,70.967,70.977,70.967,70.967,0.027299999999999998
01.04.2025 00:52:02.000 GMT+1100,70.987,70.987,70.987,70.987,0.0009
01.04.2025 00:52:21.000 GMT+1100,70.987,70.987,70.987,70.987,0.0132
01.04.2025 00:52:22.000 GMT+1100,71.007,71.007,71.007,71.007,0.0009
01.04.2025 00:52:53.000 GMT+1100,70.967,70.967,70.967,70.967,0.0132
01.04.2025 00:52:59.000 GMT+1100,70.977,70.977,70.977,70.977,0.0132
01.04.2025 00:53:00.000 GMT+1100,70.897,70.897,70.897,70.897,0.0132
01.04.2025 00:53:03.000 GMT+1100,70.977,70.977,70.977,70.977,0.0009
01.04.2025 00:53:13.000 GMT+1100,70.927,70.927,70.927,70.927,0.0132
01.04.2025 00:53:22.000 GMT+1100,70.957,70.957,70.957,70.957,0.0264
01.04.2025 00:53:28.000 GMT+1100,70.927,70.927,70.927,70.927,0.0132
01.04.2025 00:53:52.000 GMT+1100,70.987,70.987,70.987,70.987,0.0132
01.04.2025 00:53:58.000 GMT+1100,70.947,70.947,70.947,70.947,0.0132
01.04.2025 00:54:02.000 GMT+1100,70.927,70.927,70.927,70.927,0.0132
01.04.2025 00:54:04.000 GMT+1100,71.047,71.047,70.927,70.977,0.0282
01.04.2025 00:54:22.000 GMT+1100,70.987,70.997,70.987,70.997,0.0282
01.04.2025 00:54:23.000 GMT+1100,70.997,71.007,70.997,71.007,0.0264
01.04.2025 00:54:24.000 GMT+1100,71.127,71.127,71.007,71.007,0.027299999999999998
01.04.2025 00:54:25.000 GMT+1100,71.077,71.077,71.077,71.077,0.0132
01.04.2025 00:54:36.000 GMT+1100,71.097,71.097,71.097,71.097,0.0132
01.04.2025 00:54:37.000 GMT+1100,71.097,71.157,71.097,71.157,0.0141
01.04.2025 00:55:00.000 GMT+1100,71.157,71.157,71.157,71.157,0.0132
01.04.2025 00:55:03.000 GMT+1100,71.157,71.157,71.157,71.157,0.0132
01.04.2025 00:55:31.000 GMT+1100,71.197,71.197,71.197,71.197,0.0141
01.04.2025 00:55:33.000 GMT+1100,71.207,71.207,71.207,71.207,0.0132
