Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2024-08-23,Z (Dec 2024),17.8900,17.9000,17.4200,17.4200,17.50,-0.45,8003,0,34503
2024-08-26,Z (Dec 2024),17.4000,17.7000,17.2500,17.4200,17.3805,-0.1195,6249,0,34687
2024-08-27,Z (Dec 2024),17.4200,17.6000,17.1500,17.1700,17.2426,-0.1379,7452,0,35812
2024-08-28,Z (Dec 2024),17.1600,17.7800,17.0900,17.4400,17.50,0.2574,8552,0,35238
2024-08-29,Z (Dec 2024),17.5000,17.7300,17.2000,17.3500,17.3845,-0.1155,7761,0,36023
2024-08-30,Z (Dec 2024),17.3500,17.4500,17.0300,17.0800,17.1761,-0.2084,7779,0,36496
2024-09-03,Z (Dec 2024),17.0300,18.9500,16.9000,18.8000,18.6716,1.4955,22704,0,35208
2024-09-04,Z (Dec 2024),18.7500,19.9200,18.3000,19.1700,19.219,0.5474,17106,0,36379
2024-09-05,Z (Dec 2024),19.1700,19.3000,18.4200,18.7000,18.6073,-0.6117,11051,0,35734
2024-09-06,Z (Dec 2024),18.6500,19.8700,18.3000,19.7500,19.5009,0.8936,15176,0,35884
