,date,open,high,low,close,volume
0,20241004  23:56:20,1.66,1.66,1.64,1.65,-1
0,20241004  23:56:30,1.65,1.65,1.64,1.65,-1
0,20241004  23:56:40,1.65,1.73,1.64,1.7,-1
0,20241004  23:56:50,1.7,1.73,1.7,1.7,-1
0,20241004  23:57:00,1.7,1.76,1.7,1.73,-1
0,20241004  23:57:10,1.73,1.75,1.7,1.73,-1
0,20241004  23:57:20,1.73,1.76,1.73,1.74,-1
0,20241004  23:57:30,1.74,1.74,1.73,1.73,-1
0,20241004  23:57:40,1.73,1.73,1.73,1.73,-1
0,20241004  23:57:50,1.73,1.73,1.73,1.73,-1
0,20241004  23:58:00,1.73,1.73,1.73,1.73,-1
0,20241004  23:58:10,1.73,1.76,1.72,1.74,-1
0,20241004  23:58:20,1.74,1.74,1.74,1.74,-1
0,20241004  23:58:30,1.74,1.74,1.72,1.73,-1
0,20241004  23:58:40,1.73,1.73,1.7,1.71,-1
0,20241004  23:58:50,1.71,1.71,1.7,1.7,-1
0,20241004  23:59:00,1.7,1.7,1.69,1.7,-1
0,20241004  23:59:10,1.7,1.72,1.7,1.72,-1
0,20241004  23:59:20,1.72,1.73,1.71,1.73,-1
0,20241004  23:59:30,1.73,1.76,1.7,1.76,-1
0,20241004  23:59:40,1.76,1.76,1.75,1.76,-1
0,20241004  23:59:50,1.76,1.76,1.75,1.75,-1
0,20241005  00:00:00,1.75,1.77,1.75,1.76,-1
0,20241005  00:00:10,1.76,1.77,1.75,1.76,-1
0,20241005  00:00:20,1.76,1.79,1.76,1.77,-1
0,20241005  00:00:30,1.77,1.77,1.76,1.76,-1
0,20241005  00:00:40,1.76,1.79,1.75,1.77,-1
0,20241005  00:00:50,1.77,1.77,1.76,1.76,-1
0,20241005  00:01:00,1.76,1.77,1.76,1.76,-1
0,20241005  00:01:10,1.76,1.77,1.73,1.76,-1
0,20241005  00:01:20,1.76,1.8,1.75,1.78,-1
0,20241005  00:01:30,1.78,1.78,1.76,1.77,-1
0,20241005  00:01:40,1.77,1.77,1.76,1.77,-1
0,20241005  00:01:50,1.77,1.77,1.74,1.76,-1
0,20241005  00:02:00,1.76,1.77,1.76,1.77,-1
0,20241005  00:02:10,1.77,1.78,1.76,1.78,-1
0,20241005  00:02:20,1.78,1.78,1.74,1.75,-1
0,20241005  00:02:30,1.75,1.77,1.74,1.75,-1
0,20241005  00:02:40,1.75,1.76,1.73,1.74,-1
0,20241005  00:02:50,1.74,1.74,1.73,1.74,-1
0,20241005  00:03:00,1.74,1.74,1.73,1.74,-1
0,20241005  00:03:10,1.74,1.78,1.74,1.78,-1
0,20241005  00:03:20,1.78,1.78,1.73,1.74,-1
